Name of product,Product type,Price (R$),Rating,Num_Reviews,Score
"Placa Mãe ASRock B450M Steel Legend, AMD AM4, mATX, DDR4",motherboard,659.99,5,1496,7480
"Processador AMD Ryzen 5 5600X, 3.7GHz (4.6GHz Max Turbo), Cache 35MB, 6 Núcleos, 12 Threads, AM4 - 100-100000065BOX",cpu,998.99,5,568,2840
"Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8GB, GDDR6  - 90-GA2RZZ-00UANF",gpu,1349.99,5,422,2110
"Memória RAM Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8",ram,159.99,5,360,1800
"SSD 240 GB Kingston A400, SATA, Leitura: 500MB/s e Gravação: 350MB/s - SA400S37/240G",ssd,169.99,5,5116,25580
"Fonte MSI MAG A650BN, 650W, 80 Plus Bronze, PFC Ativo, com cabo, Preto - 306-7ZP2B22-CE0",power_supply,279.99,5,1303,6515
"Air Cooler Rise Mode Gamer G800, RGB, AMD/Intel, 90mm, Preto - RM-AC-O8-RGB",cpu_cooler,72.99,5,412,2060
"Kit Com 3 Ventoinhas Rise Mode, 120mm, RGB, Preto - RM-FN-02-RGB",fan,84.99,5,603,3015
"Gabinete Gamer Rise Mode Glass 06X, Mid Tower, Lateral em Vidro Fumê e Frontal em Vidro Temperado, Preto - RM-CA-06X-FB",case,149.9,5,340,1700
